"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";
"2";"";"LEDCHIPLED_0805";"CHIPLED_0805";"LED1, LED3";"LED";"";"";"";"";"";
"1";"";"MCP1700TT";"SOT-23";"IC1";"Microchip MCP1700 positive regulator";"";"";"";"";"";
"1";"";"ML6";"ML6";"SENSOR";"HARTING";"";"";"unknown";"unknown";"";
"2";"";"NTD20N06LT4G";"TO252";"Q2, Q3";"On Semiconductor NTD20N06LT4G N-MOSFET";"";"";"";"";"";
"1";"";"PINHD-1X3";"1X03";"AP";"PIN HEADER";"";"";"";"";"";
"1";"";"W237-06P";"W237-6P";"X1";"WAGO SREW CLAMP";"";"";"unknown";"unknown";"";
"7";"0.1uF";"C-USC0805";"C0805";"C2, C3, C7, C8, C11, C12, C13";"CAPACITOR, American symbol";"";"";"";"";"";
"1";"100k";"R-TRIMM3214W";"RTRIM3214W";"R4";"Trimm resistor";"";"";"";"";"";
"1";"10K";"R-US_R0805";"R0805";"R5";"RESISTOR, American symbol";"";"";"";"";"";
"2";"10k";"R-EU_R0805";"R0805";"R3, R8";"RESISTOR, European symbol";"";"";"";"";"";
"6";"10k";"R-US_R0805";"R0805";"R1, R2, R9, R10, R11, R12";"RESISTOR, American symbol";"";"";"";"";"";
"1";"10n";"C-USC0805";"C0805";"C5";"CAPACITOR, American symbol";"";"";"";"";"";
"1";"15u";"C-USC0805";"C0805";"C6";"CAPACITOR, American symbol";"";"";"";"";"";
"1";"1k";"R-EU_R0805";"R0805";"R6";"RESISTOR, European symbol";"";"";"";"";"";
"1";"1k";"R-US_R0805";"R0805";"R7";"RESISTOR, American symbol";"";"";"";"";"";
"1";"220n";"C-USC0603";"C0603";"C9";"CAPACITOR, American symbol";"";"";"";"";"";
"1";"32.768Khz";"CRYSTALTC38H";"TC38H";"Q1";"CRYSTAL";"";"";"";"";"";
"1";"4050D";"4050D";"SO16";"IC3";"Hex non-inverting BUFFER";"";"";"";"";"";
"2";"47u";"CPOL-USSMCB";"SMC_B";"C14, C15";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";
"1";"4k7";"R-EU_R0805";"R0805";"R15";"RESISTOR, European symbol";"";"";"";"";"";
"2";"4k7";"R-US_R0805";"R0805";"R13, R14";"RESISTOR, American symbol";"";"";"";"";"";
"1";"4u7";"C-USC0603";"C0603";"C10";"CAPACITOR, American symbol";"";"";"";"";"";
"1";"ARDUINODUEMILANOVE-NOHOLES";"ARDUINODUEMILANOVE-NOHOLES";"ARDUINO-NOHOLE";"U$1";"Arduino Diecimila/Duemilanove";"";"";"";"";"";
"1";"BAS40-04";"BAS40-04";"SOT23";"D1";"Silicon Schottky Diodes";"";"";"";"";"";
"1";"BMP180";"BMP180";"BMP180";"IC5";"BOSCH BMP180 DIGITAL BAROMETRIC PRESSURE SENSOR";"";"";"";"";"";
"1";"CR1220";"CR1220THM";"CR1220-THM";"BAT";"CR1216/CR1220/CR1225 12mm 3V lithium coin cell";"";"";"";"";"";
"1";"DS1307SO8";"DS1307SO8";"SO08";"IC4";"I2C real-time clock with battery backup.";"";"";"";"";"";
"1";"LM555D";"LM555D";"SO08";"IC2";"TIMER";"";"";"";"";"";
"1";"LSM9DS0";"LSM9DS0";"LGA-24";"IC6";"LSM9DS0 3D Accelerometer, 3D Gyroscope, 3D Magnetomter";"";"";"";"";"";
"1";"MICROSD";"MICROSD";"MICROSD";"SD";"Micro-SD / Transflash card holder with SPI pinout";"";"";"";"";"";
"2";"MOSFET-NCHANNELBSS123LT1G";"MOSFET-NCHANNELBSS123LT1G";"SOT23-3";"Q4, Q5";"Common NMOSFET Parts";"";"";"";"";"TRANS-08345";
"1";"Reset";"10-XX";"B3F-10XX";"RESET";"OMRON SWITCH";"";"";"";"";"";
